league,season,club,poss,mp,gls,ast,gls_p90,ast_p90,sh_p90,sot_pct,sot_p90,xG,xGA,xG_p90,xGA_p90
Premier League,2526,Arsenal,56.4,38,67,51,1.76,1.34,14.53,33.7,4.89,77.486613,33.1338052,2.039,0.872
Premier League,2526,Aston Villa,53.7,38,53,40,1.39,1.05,12.71,35.2,4.47,56.203311,56.682839,1.479,1.492
Premier League,2526,Bournemouth,50.1,38,57,35,1.5,0.92,13.84,33.8,4.68,66.834552,56.769789,1.759,1.494
Premier League,2526,Brentford,47.5,38,53,33,1.39,0.87,10.66,36.3,3.87,66.256674,59.110111,1.744,1.556
Premier League,2526,Brighton,53.9,38,51,33,1.34,0.87,13.0,35.6,4.63,58.419679,53.751226,1.537,1.415
Premier League,2526,Burnley,42.5,38,35,27,0.92,0.71,9.34,33.2,3.11,36.941275,82.584076,0.972,2.173
Premier League,2526,Chelsea,57.7,38,57,39,1.5,1.03,13.39,32.6,4.37,72.21246,58.117463,1.9,1.529
Premier League,2526,Crystal Palace,45.9,38,40,23,1.05,0.61,11.63,31.9,3.71,62.45648800000001,60.046223,1.644,1.58
Premier League,2526,Everton,43.8,38,45,34,1.18,0.89,11.11,33.6,3.74,49.870275,59.994855,1.312,1.579
Premier League,2526,Fulham,51.7,38,43,26,1.13,0.68,12.66,28.7,3.63,49.581085,60.843823,1.305,1.601
Premier League,2526,Leeds United,45.7,38,48,24,1.26,0.63,12.55,31.7,3.97,59.770649999999996,56.32591,1.573,1.482
Premier League,2526,Liverpool,59.3,38,61,44,1.61,1.16,15.47,29.8,4.61,67.25873200000001,53.869802,1.77,1.418
Premier League,2526,Manchester City,60.7,38,74,57,1.95,1.5,15.66,34.5,5.39,79.359555,46.492602,2.088,1.223
Premier League,2526,Manchester Utd,51.9,38,66,46,1.74,1.21,15.66,36.1,5.66,72.18836999999999,50.281424,1.9,1.323
Premier League,2526,Newcastle United,52.5,38,53,32,1.39,0.84,12.95,35.8,4.63,60.613248999999996,57.312037000000004,1.595,1.508
Premier League,2526,Nottingham Forest,46.8,38,47,34,1.24,0.89,12.53,32.8,4.11,48.936246,64.739616,1.288,1.704
Premier League,2526,Sunderland,44.9,38,38,25,1.0,0.66,10.42,32.8,3.42,43.136381,60.336974999999995,1.135,1.588
Premier League,2526,Tottenham Hotspur,50.4,38,47,36,1.24,0.95,11.45,33.6,3.84,46.7962522,55.590944,1.231,1.463
Premier League,2526,West Ham United,42.6,38,44,31,1.16,0.82,10.63,35.1,3.74,49.640421,68.116145,1.306,1.793
Premier League,2526,Wolves,42.8,38,26,18,0.68,0.47,9.71,33.3,3.24,38.441390999999996,68.303994,1.012,1.797
La Liga,2526,Alavés,48.1,38,41,26,1.08,0.68,12.16,33.3,4.05,53.576109,52.97264,1.41,1.394
La Liga,2526,Athletic Club,48.6,38,42,30,1.11,0.79,13.74,33.0,4.53,55.653369,47.122398,1.465,1.24
