team,elo_rating
Spain,2107.8
Argentina,2044.2
France,1998.5
Morocco,1970.7
England,1957.7
Ecuador,1951.9
Mexico,1948.5
Japan,1930.7
Portugal,1918.7
Turkey,1916.4
Colombia,1911.4
Senegal,1910.9
Brazil,1909.4
Nigeria,1894.7
Norway,1887.0
Netherlands,1881.9
Australia,1875.6
Paraguay,1870.4
Germany,1866.2
Uruguay,1864.8
Croatia,1859.4
Algeria,1843.2
South Korea,1839.4
Iran,1837.6
Uzbekistan,1837.1
Switzerland,1833.0
Panama,1828.4
Canada,1823.6
Egypt,1821.3
Italy,1804.8
Denmark,1799.6
United States,1794.7
DR Congo,1781.1
Ivory Coast,1773.3
Iraq,1773.0
Jordan,1772.5
Russia,1762.6
Belgium,1760.0
Kosovo,1756.6
Scotland,1755.9
Austria,1747.1
Venezuela,1746.8
Cameroon,1732.2
Jersey,1731.6
Greece,1717.0
Costa Rica,1713.5
Serbia,1713.4
Chile,1708.0
Bolivia,1705.9
Ukraine,1702.2
Sweden,1698.9
Honduras,1694.3
Republic of Ireland,1681.5
Tunisia,1679.0
New Zealand,1677.7
Czech Republic,1676.2
Saudi Arabia,1672.8
Poland,1672.7
Slovenia,1671.1
Haiti,1670.3
Isle of Man,1668.9
Guatemala,1664.0
Ynys Môn,1663.2
United Arab Emirates,1659.6
Hungary,1654.9
Occitania,1653.6
Wales,1652.2
Jamaica,1651.7
Peru,1650.8
Mali,1648.1
Cape Verde,1647.9
Burkina Faso,1644.9
Northern Cyprus,1641.5
Syria,1638.1
Guernsey,1635.2
Isle of Wight,1629.1
Basque Country,1626.7
Slovakia,1621.1
Albania,1618.5
Palestine,1610.7
Abkhazia,1610.0
Curaçao,1610.0
South Africa,1609.9
Qatar,1608.7
Padania,1608.0
Iraqi Kurdistan,1604.7
Kárpátalja,1600.5
Israel,1599.4
Oman,1597.5
County of Nice,1596.5
Tamil Eelam,1596.2
Suriname,1596.1
Bosnia and Herzegovina,1595.3
Ghana,1584.2
Kurdistan,1579.3
Benin,1570.9
Romania,1569.5
North Macedonia,1567.5
Réunion,1565.8
Zanzibar,1563.6
Georgia,1559.8
China PR,1559.3
Ellan Vannin,1557.4
Guinea,1556.6
New Caledonia,1554.9
Malaysia,1553.8
Yorkshire,1552.9
Niger,1552.6
Arameans Suryoye,1550.9
Thailand,1550.5
Libya,1548.4
Artsakh,1546.2
Angola,1545.3
Northern Ireland,1544.0
Maule Sur,1542.0
Catalonia,1539.5
Panjab,1539.0
Corsica,1537.6
Cascadia,1537.3
Iceland,1534.6
Kernow,1533.5
Gambia,1532.3
Trinidad and Tobago,1528.8
Biafra,1525.6
Bahrain,1524.7
Vietnam,1524.7
Quebec,1524.0
Chameria,1523.9
Zambia,1520.4
Belarus,1519.7
Andalusia,1517.6
Guyana,1515.3
Surrey,1515.0
Greenland,1513.7
Felvidék,1512.3
Kuwait,1512.3
Donetsk PR,1512.0
Tahiti,1509.9
Parishes of Jersey,1509.7
Madagascar,1507.9
Elba Island,1507.6
Uganda,1506.3
Nicaragua,1504.9
Shetland,1504.0
Menorca,1502.8
Mozambique,1502.5
Sealand,1502.0
Brittany,1502.0
Mapuche,1501.5
Guadeloupe,1501.3
Matabeleland,1500.9
Kyrgyzstan,1500.7
Rhodes,1500.3
Franconia,1498.4
Saugeais,1495.3
Gozo,1493.2
Indonesia,1493.0
North Korea,1492.9
Orkney,1492.7
Délvidék,1492.6
Monaco,1492.2
Székely Land,1491.9
United Koreans in Japan,1491.5
Galicia,1491.5
Mayotte,1491.0
Luhansk PR,1490.9
Cilento,1488.7
South Ossetia,1486.8
Sudan,1485.4
Bulgaria,1484.9
Tajikistan,1484.9
Ryūkyū,1484.4
Togo,1483.8
Somaliland,1483.5
Madrid,1482.4
Seborga,1481.8
Western Armenia,1481.6
Dominican Republic,1480.1
El Salvador,1480.0
West Papua,1480.0
Yoruba Nation,1476.2
Hmong,1475.5
Gabon,1474.3
Saare County,1470.9
Comoros,1470.4
Papua New Guinea,1469.3
Kabylia,1466.2
Kenya,1463.1
Lebanon,1460.8
Sierra Leone,1460.0
Kazakhstan,1456.8
Aymara,1456.5
Rwanda,1455.6
East Turkestan,1455.4
Åland Islands,1453.4
Provence,1452.1
Romani people,1451.5
Finland,1450.8
Western Isles,1446.7
Vanuatu,1440.8
Hitra,1439.6
Raetia,1438.3
Martinique,1436.6
Western Sahara,1436.6
Vatican City,1436.2
Puerto Rico,1435.1
Lesotho,1431.8
Fiji,1430.8
Ticino,1430.5
Saint Barthélemy,1429.7
Faroe Islands,1429.4
Zimbabwe,1429.0
Liberia,1426.8
Mauritania,1424.4
Sápmi,1424.1
Turkmenistan,1423.7
French Guiana,1421.8
Philippines,1419.9
Marshall Islands,1419.3
Kiribati,1417.2
Singapore,1411.2
Cuba,1404.0
Tanzania,1402.9
Equatorial Guinea,1402.9
Malawi,1401.3
Montenegro,1400.0
Two Sicilies,1398.9
Yemen,1394.7
Ethiopia,1394.0
Gotland,1393.1
Botswana,1389.1
Saint Vincent and the Grenadines,1388.9
Chagos Islands,1386.7
Barawa,1386.1
Namibia,1383.0
Sint Maarten,1382.8
Samoa,1368.8
Saint Pierre and Miquelon,1367.9
Hong Kong,1363.9
Darfur,1362.2
Saint Helena,1361.2
Saint Martin,1360.9
Bermuda,1359.3
Burundi,1354.3
Tibet,1353.7
Grenada,1352.9
Central African Republic,1348.9
Solomon Islands,1348.6
Montserrat,1342.5
Estonia,1334.0
Armenia,1329.3
Falkland Islands,1328.0
Tuvalu,1327.9
Azerbaijan,1327.3
Cyprus,1320.6
Guinea-Bissau,1319.8
Belize,1317.6
Congo,1316.7
Eswatini,1316.6
Luxembourg,1315.3
South Sudan,1313.5
Saint Kitts and Nevis,1312.2
Frøya,1307.8
Saint Lucia,1301.0
Cook Islands,1296.1
Malta,1295.9
Aruba,1287.2
Afghanistan,1272.2
Moldova,1269.4
Myanmar,1259.9
Alderney,1254.9
Latvia,1251.6
Bangladesh,1247.0
Bonaire,1246.8
Mauritius,1244.9
Dominica,1243.1
Eritrea,1240.4
Chad,1234.5
Northern Mariana Islands,1232.9
India,1232.9
Lithuania,1230.0
Tonga,1219.5
American Samoa,1211.9
São Tomé and Príncipe,1207.2
Somalia,1203.1
Barbados,1198.9
Cayman Islands,1195.0
Sri Lanka,1186.8
Nepal,1179.1
Antigua and Barbuda,1170.5
Cambodia,1167.8
Turks and Caicos Islands,1167.1
British Virgin Islands,1152.7
Pakistan,1149.3
Djibouti,1142.5
United States Virgin Islands,1134.8
Guam,1126.6
Taiwan,1124.1
Maldives,1122.9
Laos,1119.6
Mongolia,1110.8
Brunei,1104.6
Timor-Leste,1104.3
Andorra,1080.8
Anguilla,1066.1
Bhutan,1063.6
Bahamas,1056.0
Seychelles,1037.7
Macau,1010.7
Gibraltar,1006.7
San Marino,926.6
Liechtenstein,914.5
