team,group,elo_rating,proba_1st,proba_2nd,proba_3rd,proba_elim,pts_0,pts_1,pts_2,pts_3,pts_4,pts_5,pts_6,pts_7,pts_8,pts_9
Czech Republic,A,1642.4,0.0777,0.2494,0.418,0.2549,0.0753,0.1518,0.0815,0.2495,0.2231,0.0462,0.1139,0.0443,0.0,0.0144
Mexico,A,1948.5,0.7151,0.2058,0.0643,0.0148,0.0008,0.0061,0.0093,0.0297,0.0846,0.0748,0.1735,0.2773,0.0,0.3439
South Africa,A,1609.9,0.0194,0.1064,0.2565,0.6177,0.2642,0.2702,0.0803,0.2034,0.1142,0.0143,0.043,0.0086,0.0,0.0018
South Korea,A,1873.1,0.1878,0.4384,0.2612,0.1126,0.0217,0.065,0.0594,0.1467,0.2395,0.0711,0.2307,0.1145,0.0,0.0514
Bosnia and Herzegovina,B,1636.1,0.1096,0.2245,0.3774,0.2885,0.0753,0.1491,0.0886,0.232,0.2158,0.0535,0.12,0.0484,0.0,0.0173
Canada,B,1782.7,0.3823,0.3531,0.1859,0.0787,0.0096,0.0369,0.0344,0.1036,0.1986,0.0902,0.2262,0.1866,0.0,0.1139
Qatar,B,1642.8,0.0434,0.1139,0.2765,0.5662,0.2139,0.2515,0.098,0.2031,0.1344,0.0264,0.0507,0.0183,0.0,0.0037
Switzerland,B,1798.9,0.4647,0.3085,0.1602,0.0666,0.0078,0.0305,0.036,0.0873,0.1606,0.0997,0.2019,0.2216,0.0,0.1546
Brazil,C,1919.9,0.4694,0.3045,0.1927,0.0334,0.0039,0.0183,0.0231,0.0851,0.1751,0.09,0.2133,0.2197,0.0,0.1715
Haiti,C,1624.8,0.0118,0.0422,0.1547,0.7913,0.4076,0.2772,0.0628,0.1606,0.0646,0.0073,0.0156,0.0036,0.0,0.0007
Morocco,C,1960.2,0.3103,0.3481,0.2799,0.0617,0.0083,0.0364,0.0385,0.139,0.213,0.0903,0.2196,0.1654,0.0,0.0895
Scotland,C,1801.4,0.2085,0.3052,0.3727,0.1136,0.0271,0.0702,0.0661,0.1767,0.2318,0.079,0.1763,0.1188,0.0,0.054
Australia,D,1942.6,0.2281,0.2495,0.2634,0.259,0.0505,0.1195,0.0835,0.1622,0.2259,0.0796,0.1372,0.1022,0.0,0.0394
Paraguay,D,1807.7,0.1845,0.2274,0.2616,0.3265,0.071,0.1432,0.0917,0.1795,0.2156,0.0718,0.1199,0.079,0.0,0.0283
Turkey,D,1849.4,0.2819,0.2597,0.2466,0.2118,0.0396,0.0911,0.0786,0.1483,0.2186,0.0946,0.1462,0.1269,0.0,0.0561
United States,D,1857.4,0.3055,0.2634,0.2284,0.2027,0.0329,0.0844,0.0723,0.1511,0.2132,0.0886,0.1591,0.1353,0.0,0.0631
Curaçao,E,1587.6,0.0093,0.0379,0.1632,0.7896,0.4214,0.2817,0.0554,0.155,0.064,0.0059,0.013,0.0033,0.0,0.0003
Ecuador,E,1863.6,0.3689,0.349,0.236,0.0461,0.0061,0.0274,0.0306,0.1107,0.1986,0.0934,0.2121,0.201,0.0,0.1201
Germany,E,1888.6,0.4371,0.3285,0.1939,0.0405,0.0049,0.0226,0.0245,0.0908,0.1739,0.0891,0.2262,0.2178,0.0,0.1502
Ivory Coast,E,1861.7,0.1847,0.2846,0.4069,0.1238,0.0316,0.0815,0.0582,0.1915,0.2396,0.0737,0.1702,0.1062,0.0,0.0475
Japan,F,1922.3,0.2779,0.352,0.2659,0.1042,0.0191,0.0543,0.0553,0.1411,0.2193,0.0882,0.2006,0.1471,0.0,0.075
Netherlands,F,1890.3,0.5218,0.2795,0.1507,0.048,0.0061,0.021,0.0289,0.0732,0.1483,0.0931,0.196,0.2401,0.0,0.1933
Sweden,F,1755.5,0.1721,0.2846,0.3733,0.17,0.0353,0.0937,0.0687,0.2139,0.2372,0.0716,0.157,0.0892,0.0,0.0334
Tunisia,F,1622.5,0.0282,0.0839,0.2101,0.6778,0.2905,0.2795,0.0843,0.1794,0.1043,0.0165,0.0341,0.0085,0.0,0.0029
Belgium,G,1770.5,0.3915,0.2718,0.2024,0.1343,0.0193,0.0543,0.0586,0.1209,0.1959,0.1052,0.1695,0.1773,0.0,0.099
Egypt,G,1810.8,0.2567,0.2675,0.258,0.2178,0.0415,0.0984,0.0777,0.1577,0.217,0.0897,0.1451,0.1235,0.0,0.0494
Iran,G,1811.8,0.2081,0.2586,0.2778,0.2555,0.0491,0.1166,0.0816,0.1832,0.2221,0.0787,0.1395,0.0932,0.0,0.036
New Zealand,G,1703.5,0.1437,0.2021,0.2618,0.3924,0.1028,0.1766,0.0939,0.1884,0.1931,0.0619,0.1058,0.058,0.0,0.0195
Cape Verde,H,1699.9,0.0189,0.1468,0.4141,0.4202,0.1713,0.2243,0.0763,0.2755,0.1581,0.0181,0.063,0.0112,0.0,0.0022
