match_id,home,away,kickoff,cote_home,cote_draw,cote_away,p_home,p_draw,p_away,safe_score,safe_ev,safe_wr,value_score,value_ev,value_wr,lottery_score,lottery_ev,lottery_wr,mode_recommended,edge_value_vs_safe_pct
9,Switzerland,Bosnia and Herzegovina,2026-06-18T19:00:00Z,76,108,134,0.6509,0.2198,0.1293,1-0,14.6494,0.6514,1-0,14.6494,0.6514,1-0,14.6494,0.6514,safe,0.0
10,Canada,Qatar,2026-06-18T22:00:00Z,71,104,148,0.7163,0.1878,0.0959,2-0,14.5407,0.7267,2-0,14.5407,0.7267,2-0,14.5407,0.7267,safe,0.0
3,Czech Republic,South Africa,2026-06-18T16:00:00Z,62,112,142,0.5279,0.267,0.2052,1-0,12.3366,0.5107,1-0,12.3366,0.5107,1-1,17.3657,0.2603,lottery,0.0
4,Mexico,South Korea,2026-06-19T01:00:00Z,69,117,129,0.6761,0.208,0.1159,2-0,13.5618,0.6809,2-0,13.5618,0.6809,1-1,13.6724,0.1981,safe,0.0
15,Scotland,Morocco,2026-06-19T22:00:00Z,99,112,91,0.2607,0.2888,0.4505,0-1,15.8301,0.4886,0-1,15.8301,0.4886,0-1,15.8301,0.4886,safe,0.0
16,Brazil,Haiti,2026-06-20T00:30:00Z,21,167,198,0.8102,0.1351,0.0547,2-0,3.8415,0.8194,3-0,10.9306,0.8194,3-0,10.9306,0.8194,value,184.54
21,United States,Australia,2026-06-19T19:00:00Z,58,119,153,0.5755,0.2509,0.1736,1-0,12.1227,0.5643,1-0,12.1227,0.5643,1-1,17.1391,0.2448,lottery,0.0
22,Turkey,Paraguay,2026-06-20T03:00:00Z,84,113,126,0.3158,0.2959,0.3883,0-1,19.2693,0.429,0-1,19.2693,0.429,0-1,19.2693,0.429,safe,0.0
27,Germany,Ivory Coast,2026-06-20T20:00:00Z,38,137,164,0.6419,0.2238,0.1342,1-0,5.9576,0.6414,3-0,7.9219,0.6414,1-1,16.9369,0.216,lottery,32.97
28,Ecuador,Curaçao,2026-06-21T00:00:00Z,41,143,168,0.7043,0.194,0.1017,2-0,6.5379,0.7134,3-0,10.2016,0.7134,1-1,14.7621,0.1818,lottery,56.04
33,Netherlands,Sweden,2026-06-20T17:00:00Z,67,122,131,0.6325,0.228,0.1395,1-0,13.4678,0.6304,1-0,13.4678,0.6304,1-1,15.7437,0.2206,safe,0.0
34,Tunisia,Japan,2026-06-21T04:00:00Z,118,103,91,0.1113,0.2199,0.6688,0-2,16.2799,0.676,0-2,16.2799,0.676,0-2,16.2799,0.676,safe,0.0
39,Belgium,Iran,2026-06-21T19:00:00Z,39,138,171,0.5033,0.2741,0.2226,1-0,5.7754,0.4837,1-0,5.7754,0.4837,1-1,21.0371,0.2664,lottery,0.0
40,New Zealand,Egypt,2026-06-22T01:00:00Z,148,116,59,0.227,0.2805,0.4926,0-1,11.9383,0.5272,0-1,11.9383,0.5272,1-1,17.5279,0.2551,lottery,0.0
45,Spain,Saudi Arabia,2026-06-21T16:00:00Z,31,139,176,0.8547,0.1079,0.0374,3-0,13.1068,0.8471,3-0,13.1068,0.8471,3-0,13.1068,0.8471,safe,0.0
46,Uruguay,Cape Verde,2026-06-21T22:00:00Z,72,109,137,0.597,0.2427,0.1603,1-0,14.1371,0.5892,1-0,14.1371,0.5892,1-1,15.4315,0.2363,safe,0.0
51,France,Iraq,2026-06-22T21:00:00Z,22,166,189,0.8296,0.1234,0.047,2-0,3.927,0.8332,3-0,11.4415,0.8332,3-0,11.4415,0.8332,value,191.35
52,Norway,Senegal,2026-06-23T00:00:00Z,64,105,137,0.6632,0.2141,0.1227,1-0,12.9314,0.666,1-0,12.9314,0.666,1-1,13.0002,0.2051,safe,0.0
57,Argentina,Austria,2026-06-22T17:00:00Z,63,105,132,0.7157,0.1881,0.0962,2-0,13.3778,0.7261,2-0,13.3778,0.7261,2-0,13.3778,0.7261,safe,0.0
58,Jordan,Algeria,2026-06-23T03:00:00Z,152,139,67,0.1905,0.2674,0.542,0-1,13.2253,0.5704,0-1,13.2253,0.5704,1-1,19.2401,0.2419,lottery,0.0
63,Portugal,Uzbekistan,2026-06-23T17:00:00Z,24,154,173,0.6358,0.2265,0.1377,1-0,4.0245,0.6342,3-0,6.6351,0.6342,1-1,18.9212,0.219,lottery,64.87
64,Colombia,DR Congo,2026-06-24T02:00:00Z,77,111,123,0.6577,0.2166,0.1257,1-0,14.7521,0.6599,1-0,14.7521,0.6599,1-0,14.7521,0.6599,safe,0.0
69,England,Ghana,2026-06-23T20:00:00Z,44,127,162,0.7933,0.1451,0.0616,2-0,7.2869,0.805,3-0,13.5276,0.805,3-0,13.5276,0.805,value,85.64
70,Panama,Croatia,2026-06-23T23:00:00Z,165,123,36,0.2261,0.2802,0.4937,0-1,5.4993,0.5282,0-1,5.4993,0.5282,1-1,18.3464,0.2548,lottery,0.0
