team,confederation,mv_baseline_eur,mv_current_eur,mv_ratio
Japan,AFC,27537500,279050000,10.1335
Mexico,CONCACAF,37350000,339150000,9.0803
Argentina,CONMEBOL,340025000,1243000000,3.6556
France,UEFA,548200000,1483000000,2.7052
Brazil,CONMEBOL,340025000,877200000,2.5798
Uzbekistan,AFC,27537500,68725000,2.4957
England,UEFA,548200000,1310000000,2.3896
Spain,UEFA,548200000,1267000000,2.3112
Morocco,CAF,234250000,483500000,2.064
Senegal,CAF,234250000,468000000,1.9979
Germany,UEFA,548200000,998000000,1.8205
Portugal,UEFA,548200000,975000000,1.7785
Ivory Coast,CAF,234250000,411100000,1.755
Netherlands,UEFA,548200000,833500000,1.5204
Saudi Arabia,AFC,27537500,34750000,1.2619
Iran,AFC,27537500,32200000,1.1693
Uruguay,CONMEBOL,340025000,371100000,1.0914
Haiti,CONCACAF,37350000,39875000,1.0676
Norway,UEFA,548200000,579200000,1.0565
Algeria,CAF,234250000,242800000,1.0365
Ghana,CAF,234250000,234250000,1.0
Sweden,UEFA,548200000,548200000,1.0
New Zealand,OFC,27537500,27537500,1.0
Belgium,UEFA,548200000,548200000,1.0
Australia,AFC,27537500,27537500,1.0
Canada,CONCACAF,37350000,37350000,1.0
South Africa,CAF,234250000,234250000,1.0
United States,CONCACAF,37350000,37350000,1.0
Panama,CONCACAF,37350000,34825000,0.9324
Colombia,CONMEBOL,340025000,308950000,0.9086
Iraq,AFC,27537500,22875000,0.8307
Ecuador,CONMEBOL,340025000,259050000,0.7619
Turkey,UEFA,548200000,386700000,0.7054
Qatar,AFC,27537500,19375000,0.7036
Curaçao,CONCACAF,37350000,26025000,0.6968
Croatia,UEFA,548200000,370700000,0.6762
DR Congo,CAF,234250000,147050000,0.6277
Switzerland,UEFA,548200000,338600000,0.6177
Paraguay,CONMEBOL,340025000,208075000,0.6119
Egypt,CAF,234250000,127350000,0.5436
Austria,UEFA,548200000,271700000,0.4956
Scotland,UEFA,548200000,208725000,0.3807
South Korea,AFC,27537500,10000000,0.3631
Czech Republic,UEFA,548200000,196225000,0.3579
Jordan,AFC,27537500,8600000,0.3123
Tunisia,CAF,234250000,69250000,0.2956
Bosnia and Herzegovina,UEFA,548200000,146500000,0.2672
Cape Verde,CAF,234250000,55475000,0.2368
