team,group,confederation,n_players,avg_age,avg_caps,squad_value_eur,avg_player_value_eur,poss,gls_p90,xG_p90,xGA_p90,sh_p90,sot_pct
Mexico,A,CONCACAF,51.0,26.314,27.725,339150000.0,6650000.0,51.209,1.302,1.559,1.354,12.64,33.656
South Korea,A,AFC,26.0,27.654,36.0,10000000.0,10000000.0,60.1,2.313,2.39,1.374,16.317,38.767
South Africa,A,CAF,,,,,,,,,,,
Czech Republic,A,UEFA,29.0,27.138,23.69,196225000.0,6766379.31,50.1,1.391,1.504,1.554,11.649,36.975
Canada,B,CONCACAF,,,,,,,,,,,
Switzerland,B,UEFA,26.0,27.808,41.885,338600000.0,13023076.923,49.373,1.332,1.436,1.58,12.255,33.303
Qatar,B,AFC,28.0,28.429,49.214,19375000.0,842391.304,,,,,,
Bosnia and Herzegovina,B,UEFA,27.0,26.148,20.63,146500000.0,5425925.926,48.667,1.305,1.495,1.512,12.284,34.18
Brazil,C,CONMEBOL,26.0,28.654,33.769,877200000.0,35088000.0,57.697,1.799,1.996,1.222,15.208,36.02
Morocco,C,CAF,26.0,25.885,27.462,483500000.0,19340000.0,58.027,1.698,1.825,1.255,14.511,36.274
Haiti,C,CONCACAF,26.0,27.077,22.538,39875000.0,1733695.652,44.518,0.968,1.131,1.585,10.376,32.963
Scotland,C,UEFA,26.0,28.923,37.654,208725000.0,8027884.615,53.98,1.418,1.544,1.337,12.917,34.156
United States,D,CONCACAF,26.0,26.423,35.346,0.0,,50.05,1.464,1.7,1.404,13.318,33.95
Paraguay,D,CONMEBOL,55.0,27.945,16.855,208075000.0,3783181.818,50.008,1.375,1.429,1.493,10.928,37.369
Australia,D,AFC,,,,,,,,,,,
Turkey,D,UEFA,35.0,26.686,27.143,386700000.0,13810714.286,59.5,2.03,2.144,1.184,17.47,38.1
Germany,E,UEFA,26.0,27.538,31.231,998000000.0,38384615.385,61.1,2.505,2.395,1.368,16.537,38.972
Ecuador,E,CONMEBOL,34.0,23.794,19.618,259050000.0,8635000.0,55.571,1.429,1.789,1.505,13.017,32.664
Ivory Coast,E,CAF,26.0,25.192,26.0,411100000.0,20555000.0,52.45,1.578,1.861,1.476,13.701,35.938
Curaçao,E,CONCACAF,26.0,27.538,22.346,26025000.0,1000961.538,,,,,,
Netherlands,F,UEFA,26.0,27.269,31.846,833500000.0,32057692.308,56.245,1.611,1.787,1.347,14.293,33.227
Japan,F,AFC,27.0,27.556,35.556,279050000.0,10335185.185,50.175,1.522,1.713,1.622,12.839,34.735
Sweden,F,UEFA,,,,,,,,,,,
Tunisia,F,CAF,26.0,26.154,21.154,69250000.0,2663461.538,45.765,1.207,1.238,1.873,10.687,34.472
Belgium,G,UEFA,26.0,27.115,40.269,548200000.0,21084615.385,55.658,1.579,1.729,1.297,13.67,34.991
Egypt,G,CAF,27.0,28.481,28.926,127350000.0,6367500.0,59.22,1.764,1.927,1.324,15.228,32.945
Iran,G,AFC,30.0,28.767,38.533,32200000.0,1238461.538,,,,,,
New Zealand,G,OFC,,,,,,,,,,,
Spain,H,UEFA,26.0,26.154,27.231,1267000000.0,48730769.231,62.998,2.091,2.283,1.29,16.28,36.186
Uruguay,H,CONMEBOL,28.0,28.071,31.857,371100000.0,13253571.429,59.578,1.946,2.079,1.233,16.583,37.579
Saudi Arabia,H,AFC,30.0,27.9,28.5,34750000.0,1198275.862,51.2,1.91,2.187,1.263,16.5,33.7
Cape Verde,H,CAF,26.0,29.192,29.538,55475000.0,2219000.0,44.5,1.87,1.812,1.412,11.97,37.8
France,I,UEFA,26.0,26.577,29.346,1483000000.0,57038461.538,61.745,2.151,2.228,1.2,16.543,37.222
Senegal,I,CAF,28.0,26.464,33.857,468000000.0,16714285.714,52.346,1.644,1.745,1.452,13.041,35.76
Iraq,I,AFC,34.0,25.941,24.618,22875000.0,762500.0,,,,,,
Norway,I,UEFA,26.0,26.346,29.231,579200000.0,23168000.0,55.789,1.64,1.865,1.31,14.278,33.691
Argentina,J,CONMEBOL,55.0,26.873,25.655,1243000000.0,22600000.0,55.443,1.523,1.72,1.39,13.556,35.1
Austria,J,UEFA,26.0,28.115,39.769,271700000.0,10450000.0,55.556,1.932,2.053,1.563,15.143,37.396
Algeria,J,CAF,27.0,25.556,23.704,242800000.0,9712000.0,55.775,1.69,1.828,1.429,14.118,36.056
Jordan,J,AFC,28.0,27.5,36.714,8600000.0,373913.043,53.5,1.68,1.602,1.771,14.18,35.1
Portugal,K,UEFA,27.0,27.519,41.481,975000000.0,36111111.111,62.528,1.92,2.069,1.145,16.027,36.019
Colombia,K,CONMEBOL,26.0,29.615,38.385,308950000.0,11882692.308,58.605,2.338,2.297,1.402,15.709,37.826
Uzbekistan,K,AFC,30.0,,29.367,68725000.0,2643269.231,60.7,1.95,2.088,1.223,15.66,34.5
DR Congo,K,CAF,26.0,28.5,29.308,147050000.0,5655769.231,48.049,1.23,1.396,1.568,11.757,34.294
England,L,UEFA,26.0,26.615,30.731,1310000000.0,50384615.385,56.629,1.772,1.936,1.242,14.66,35.196
Croatia,L,UEFA,26.0,27.885,43.115,370700000.0,14257692.308,56.327,1.854,1.913,1.437,14.761,36.318
Panama,L,CONCACAF,26.0,30.0,57.154,34825000.0,1339423.077,,,,,,
Ghana,L,CAF,28.0,26.179,20.643,234250000.0,8675925.926,56.25,1.637,1.844,1.356,14.342,34.338
