team,group,confederation,pot,fifa_ranking
Mexico,A,CONCACAF,1,
South Korea,A,AFC,2,
South Africa,A,CAF,3,
Czech Republic,A,UEFA,4,
Canada,B,CONCACAF,1,
Switzerland,B,UEFA,2,
Qatar,B,AFC,3,
Bosnia and Herzegovina,B,UEFA,4,
Brazil,C,CONMEBOL,1,
Morocco,C,CAF,2,
Haiti,C,CONCACAF,4,
Scotland,C,UEFA,3,
United States,D,CONCACAF,1,
Paraguay,D,CONMEBOL,3,
Australia,D,AFC,2,
Turkey,D,UEFA,4,
Germany,E,UEFA,1,
Ecuador,E,CONMEBOL,2,
Ivory Coast,E,CAF,3,
Curaçao,E,CONCACAF,4,
Netherlands,F,UEFA,1,
Japan,F,AFC,2,
Sweden,F,UEFA,4,
Tunisia,F,CAF,3,
Belgium,G,UEFA,1,
Egypt,G,CAF,3,
Iran,G,AFC,2,
New Zealand,G,OFC,4,
Spain,H,UEFA,1,
Uruguay,H,CONMEBOL,2,
Saudi Arabia,H,AFC,3,
Cape Verde,H,CAF,4,
France,I,UEFA,1,
Senegal,I,CAF,2,
Iraq,I,AFC,4,
Norway,I,UEFA,3,
Argentina,J,CONMEBOL,1,
Austria,J,UEFA,2,
Algeria,J,CAF,3,
Jordan,J,AFC,4,
Portugal,K,UEFA,1,
Colombia,K,CONMEBOL,2,
Uzbekistan,K,AFC,3,
DR Congo,K,CAF,4,
England,L,UEFA,1,
Croatia,L,UEFA,2,
Panama,L,CONCACAF,3,
Ghana,L,CAF,4,
